Italiano,English,Uses in OpenSubtitles 2018
dico,I say,86720
amici,friends,86394
fine,end,86358
aiuto,Help,86224
paura,fear,85829
fratello,brother,85320
stavo,I was,85144
uomini,men,85054
nell',in the',85051
domani,tomorrow,85002
facciamo,we do,84221
abbastanza,enough,84028
capo,head,83858
amore,love,83502
nei,in the,83338
ucciso,killed,83264
state,state,82920
piano,floor,82812
macchina,machine,82522
trovare,to find,82166
comunque,anyway,82046
vediamo,we see,81806
giorni,days,81066
nemmeno,neither,81033
mano,but no,80423
dall',from,80341
presto,soon,80233
stati,States,79916
merda,shit,79692
far,do,79591
bambino,baby,79508
andato,left,79227
vedo,I see,79175
tornare,return,78980
quelle,those,78978
cio,that is,78771
primo,first,78747
vostro,your,78512
neanche,neither,78191
sera,evening,77766
giro,tour,77718
morte,death,77648
e',And',77610
qua,here,77592
pensato,thought,77419
buon,good,77308
anno,year,76410
mie,my,76140
diavolo,devil,76107
quasi,almost,75598
piacere,pleasure,75430
bel,nice,75097
dovrei,should I,74657
nessun,no,74557
contro,versus,74064
stessa,same,73974
felice,happy,73508
colpa,fault,73444
punto,point,73135
andata,outward,72631
dovrebbe,should,72424
vedi,you see,72393
quale,which,72339
chiesto,asked,72307
invece,instead,71686
perchè,why,71521
migliore,improve,71263
nostri,our,71251
finito,finished,71141
figlia,daughter,71086
dovresti,you should,71046
papa,Pope,70992
almeno,at least,70410
sento,I feel,70388
quei,those,69770
col,with the,69323
ore,hours,69165
passato,past,69134
magari,let's hope,68849
minuti,minutes,68593
terra,Earth,68331
vostra,your,68199
strada,Street,67968
sola,lonely,67937
credi,believe,67923
importante,important,67848
sue,his,67687
salve,Hello,67388
settimana,week,67192
perso,lost,67176
uscire,go out,67056
parlato,spoken,66990
papà,Pope,66780
stasera,this evening,66698
scusi,excuse me,66665
dollari,dollars,66617
occhi,eyes,66229
mani,hands,66106
ultima,last,66059
possibile,possible,66058
scuola,school,65965
significa,it means,65799
sapevo,I knew,65718
nelle,in,65294
potrei,I could,65268
stava,was,65197
bambini,children,65172
eri,you was,64764
importa,it matters,64705
indietro,backwards,64558
riesco,I am able to,64481
sangue,blood,63943
chiama,who loves,63801
messo,put,63408
piccolo,small,63260
traduzione,translation,63150
tardi,late,63126
cuore,heart,62968
marito,husband,62553
viene,he comes,62171
venuto,coming,62163
ieri,yesterday,62079
spero,I hope,61888
ricordi,memories,61865
quelli,those,61732
dovremmo,we should,61640
lasciato,left,61632
ascolta,listens,61486
difficile,hard,61280
quell',that',61012
auto,car,61008
chiamato,called,60982
ciò,that is,60821
altre,other,60408
parlando,speaking,60256
pensare,to think,60231
fantastico,fantastic,60113
fatta,made,60085
numero,number,60059
veramente,truly,60007
fanno,do,59945
com',as,59820
serio,serious,59775
possa,can,59645
fossi,dive,59530
entrare,enter,59221
anch',too,59206
qualsiasi,any,59149
pensa,thinks,59078
dicendo,saying,58855
acqua,water,58651
portato,carried,58647
stanza,room,58547
problemi,problems,58073
forte,loud,57843
nessuna,none,57823
lascia,leaves,57619
amo,love you,57577
roba,stuff,57341
agente,agent,57290
dietro,behind,56981
corpo,body,56973
pare,it seems,56863
sentire,feel,56801
foto,photo,56644
telefono,phone,56565
voleva,she wanted,56265
poco,little,56227
prendi,you take,56164
piccola,small,56125
vicino,Neighbor,55996
quest',this,55837
sacco,sack,55778
stia,stia,55698
capire,understand,55475
potuto,could,55442
cinque,five,55436
strano,strange,55292
tue,your,54912
andando,going,54736
donne,women,54728
sappiamo,we know,54405
bravo,good boy,54264
ragazze,girls,54178
festa,party,54052
senso,sense,53977
genere,gender,53941
quattro,four,53750
dare,to give,53534
attimo,moment,53428
sorella,sister,53211
pure,mashed potato,53047
probabilmente,probably,52894
film,movie,52832
parla,speak out,52799
ufficio,office,52768
verso,towards,52752
mesi,months,52606
farti,make you,52593
unica,only,52564
morire,to die,52543
signorina,Miss,52060
vecchio,old,51955
domanda,request,51805
ben,well,51786
guerra,war,51496
dottore,doctor,51471
conosco,I know,51466
qual,that,51235
vivere,to live,50627
vista,view,50593
prova,trial,50161
nuova,new,49966
ricordo,I remember,49786
divertente,fun,49581
avessi,had,49492
sicura,safe,49481
paio,pair,49342
conto,I count,49289
perdere,lose,49017
dimmi,tell me,48943
farmi,make me,48776
figli,sons,48137
mezzo,half,48105
lavorare,to work,47934
unico,unique,47910
esattamente,exactly,47713
squadra,squad,47394
esatto,exact,47389
possono,can,47326
fate,you do,47229
faro,lighthouse,47219
sapete,you know,47132
dottor,Doctor,47078
parola,word,46974
piedi,feet,46967
sopra,over,46678
motivo,reason,46493
avevi,you had,46043
cavolo,cabbage,45826
capitano,captain,45764
finita,finite,45689
volete,you want,45602
siano,they are,45451
potresti,could,45204
gioco,game,45139
perfetto,perfect,45080
be,be,44966
mente,mind,44663
mangiare,to eat,44651
resto,rest,44550
credere,to believe,44330
fortuna,fortune,44319
tratta,deals with,44089
chiamo,call,44026
morta,dead,43881
là,there,43774
entrambi,both of them,43640
avresti,you would have,43624
passare,to pass,43425
cena,dinner,43093
the,tea,43070
sarei,I would be,42917
controllo,check,42629
affari,business,42520
spiace,unpleasant,42305
ultimo,last,42022
facile,easy,42003
farò,lighthouse,41881
buongiorno,good morning,41843
davanti,front,41824
tizio,guy,41748
dammi,give me,41718
sicurezza,safety,41672
dalle,give her,41669
quanti,how many,41632
dica,say,41556
matrimonio,marriage,41484
john,John,41475
vogliono,they want,41470
molti,lot of,41355
culo,ass,41260
fuoco,fire,41254
cercare,to seek,41201
pistola,pistol,41140
potremmo,we could,41100
re,king,40945
mandato,mandate,40926
puttana,whore,40856
negli,in,40700
cioe,that is,40593
inizio,Start,40562
saranno,they will be,40400
causa,it causes,40373
voglia,wants,40372
mettere,to put,40369
fammi,do for me,40278
uccidere,kill,40220
vogliamo,we want,40189
faremo,we will do,40176
però,However,40149
genitori,parents,40076
sesso,sex,39956
potete,you can,39822
ricevuto,received,39734
vivo,I live,39628
presidente,president,39537
città,city,39454
citta,city,39401
succedendo,succeeding,39388
ospedale,hospital,39345
fu,was,39305
agli,to,39237
scritto,written,39116
smettila,stop that,39023
vada,go,39013
attenzione,Attention,38891
sulle,on,38732
bere,drinking,38732
situazione,situation,38688
omicidio,homocide,38605
revisione,revision,38437
avesse,had,38260
ottimo,great,38244
cura,treatment,38235
durante,during,38077
provato,tried,38069
parole,words,37888
lasciare,to leave,37877
dicono,they say,37811
new,new,37800
prossima,next,37691
nostre,our,37687
arrivato,arrived,37654
paese,country,37633
sull',on,37550
andate,go,37408
chiunque,whoever,37356
capisci,Do you understand,37287
pace,peace,37262
immagino,I imagine,37228
musica,music,37171
tieni,keep,37156
oddio,oh God,37008
jack,jack,36995
libro,book,36974
eravamo,we were,36900
amica,friend,36883
diventare,become,36876
sui,on,36801
sbagliato,wrong,36774
dirmi,tell me,36757
wow,wow,36746
farai,you will do,36559
entra,enter,36488
venuta,coming,36437
scelta,choice,36337
voluto,wanted,36256
portare,bring,36248
assolutamente,absolutely,36177
molte,many,36038
chiedo,I ask,35957
torna,back,35930
scoperto,discovery,35881
fatti,facts,35861
settimane,weeks,35855
dirlo,be,35840
alcuni,some,35716
prigione,prison,35683
giornata,day,35633
piuttosto,rather,35583
buono,good,35576
aspettare,wait,35538
parli,you speak,35480
arrivare,arrive,35422
lungo,long,35357
vede,see,35334
avvocato,lawyer,35309
deciso,decided,35267
sarai,you will be,35262
messaggio,message,35168
dormire,to sleep,35055
dieci,ten,35039
stupido,stupid,34877
usare,to use,34717
dello,of the,34688
cielo,sky,34656
guardare,watch,34603
bagno,bath,34585
aria,air,34562
voce,voice,34514
tornato,got back,34505
vuol,vuol,34483
giù,below,34239
conosci,you know,34123
benissimo,very good,34101
prendo,I take,34014
verita,truth,33992
cane,dog,33958
restare,to remain,33939
chiamare,call,33931
poter,being able,33801
campo,field,33702
luce,light,33690
sam,Sam,33675
qualunque,whatever,33626
giovane,young,33539
signori,gentlemen,33500
fra,between,33297
provare,try,33239
minuto,minute,33161
saperlo,know it,33097
lontano,distant,33054
gruppo,group,32986
continua,keep on,32946
arrivo,I arrive,32899
gran,large,32835
realta,reality,32828
cerca,near,32799
passo,step,32787
domande,requests,32765
insomma,in short,32718
bambina,girl,32679
pensando,think,32634
capelli,hair,32604
trova,find,32593
onore,honor,32569
aiutare,to help,32566
verità,truth,32541
prove,evidence,32527
n',n ',32472
funziona,works,32417
alto,tall,32362
giu,below,32316
credevo,I believed,32208
futuro,future,32203
preoccuparti,worry,32145
idiota,idiot,32091
cibo,food,32073
fretta,rush,31890
cara,Dear,31849
finalmente,long last,31841
morti,death,31669
odio,hate,31644
solito,usual,31565
brava,good,31529
é,And,31392
incidente,accident,31346
allo,at the,31269
dev',DE,31186
intenzione,intention,31147
speciale,special,31144
cambiare,change,31140
vera,real,31138
camera,room,31102
oltre,beyond,31088
semplice,simple,31031
dirti,tell you,31022
riguardo,regard,30963
finche,until,30933
aspetto,appearance,30919
viaggio,voyage,30802
chiaro,clear,30772
chiamata,call,30771
bocca,mouth,30661
permesso,permit,30503
piacerebbe,would like,30457
dovete,you have to,30289
giocare,play,30267
ordine,order,30252
circa,approximately,30207
ovviamente,obviously,30051
finire,finish,30046
piu',more',29996
natale,Christmas,29990
i',the',29982
direi,I'd say,29936
vostri,your,29765
occhio,eye,29742
pronta,ready,29723
scusami,Excuse me,29718
mattina,morning,29693
cercato,looked for,29591
crede,you think,29533
sistema,system,29455
york,York,29432
fondo,background,29402
resta,remain,29301
devono,must,29257
prossimo,next,29085
pronti,ready,29055
saputo,known,29025
scusate,excuse me,28999
potere,power,28726
milioni,millions,28725
soltanto,only,28690
armi,weapons,28654
arriva,he arrives,28648
fermo,stopped,28645
mese,month,28602
chiedere,to ask,28594
cristo,Christ,28557
torno,back,28430
venite,come,28262
controllare,to check,28240
appuntamento,appointment,28216
s,s,28200
chiami,who do you Love,28183
vecchia,old,28158
detective,detective,28116
pero,However,28057
metti,you put,28034
grado,grade,28004
vanno,they go,27995
nave,ship,27941
iniziato,started,27923
perche',why',27909
informazioni,information,27859
libero,free,27782
stronzo,asshole,27765
grandi,big,27707
pezzo,piece,27684
segreto,secret,27664
colpo,blow,27658
faceva,he did,27562
piacciono,like,27507
porto,port,27440
oppure,or,27371
completamente,completely,27354
vederti,see you,27318
lista,list,27280
venga,come,27268
veloce,rapid,27221
assassino,killer,27174
sapeva,He knew,27164
finché,until,27114
tom,Tom,27062
ormai,at this point,27060
interessa,interest,27032
generale,general,27020
giusta,right,27015
tenere,hold,27007
pazzo,crazy,26992
vittima,victim,26978
giuro,I swear,26966
consiglio,Advice,26953
michael,Michael,26923
alcune,someone,26881
semplicemente,simply,26865
zio,uncle,26837
centro,center,26812
specie,species,26799
mille,one thousand,26725
sogno,dream,26675
lasci,leave,26653
carino,cute,26641
doveva,where you go,26623
brutto,ugly,26619
nello,in,26605
aspetti,aspect,26600
incredibile,incredible,26409
sole,Sun,26400
glielo,it,26386
legge,law,26358
spesso,often,26288
guardate,watch,26233
cambiato,changed,26223
scena,scene,26156
volevi,you wanted,26141
charlie,Charlie,26128
lasciami,leave me,26113
gentile,gentle,26075
rispetto,respect,26070
ve,ve,26043
fara,will make,25996
zitto,Shut up,25966
incontro,match,25891
farà,will make,25890
servono,need,25865
rapporto,report,25814
errore,mistake,25813
mike,Mike,25758
sanno,they know,25709
pagare,to pay,25689
sorpresa,surprise,25562
occhiata,look,25561
risposta,reply,25558
presa,socket,25557
servizio,service,25544
medico,doctor,25532
usato,used,25489
hey,Hey,25473
caro,expensive,25455
schifo,disgust,25451
avrai,you will have,25368
dolore,ache,25363
saresti,would you be,25334
personale,personnel,25317
quali,Which,25292
saro,I will be,25272
peggio,worse,25238
addio,goodbye,25229
addosso,on,25226
dovevo,I had to,25217
poteva,he could,25161
pieno,full,25142
diverso,different,25123
vestiti,clothes,25055
sparato,shot,25039
realtà,reality,25025
do,do,25019
sarò,I will be,24965
normale,normal,24942
fame,hunger,24920
programma,program,24875
nonna,grandmother,24820
sappia,know,24735
sembrava,It seemed,24719
migliori,best,24704
notizie,news,24650
avevamo,we had,24638
riesci,are able,24638
posizione,position,24614
vengo,I come,24547
rimanere,to remain,24544
compagnia,company,24520
proposito,purpose,24508
farci,make us,24502
joe,Joe,24476
ricorda,remember,24429
frank,Frank,24392
prende,takes,24340
tante,many,24337
avevano,they had,24313
arrivando,arriving,24287
chiuso,Closed,24272
terribile,terrible,24238
ritardo,delay,24222
attento,careful,24194
bar,bar,24183
sembri,you look,24146
fallo,just do it,24097
dimenticato,forgotten,24007
bisogna,need,23987
impossibile,impossible,23949
cioè,that is,23934
studio,study,23860
stessi,same,23846
arma,weapon,23819
conosce,know,23781
uscita,exit,23763
ii,II,23745
fin,fin,23741
disse,She said,23659
david,David,23649
vattene,get out,23618
quante,how much it is,23607
guai,trouble,23549
intorno,environment,23545
video,video,23506
manca,lacks,23459
esserci,there,23436
grosso,big,23390
tanti,many,23341
dolce,sweet,23316
chiave,key,23265
cervello,brain,23237
coraggio,courage,23216
interessante,Interesting,23216
