Italian,English
puo,can he
aver,have
mondo,world
tutta,all
preso,taken 
nulla,nothing
nostra,our
donna,woman
stare,to stay
basta,enough
insieme,together
faccia,face
ragazza,girl
subito,immediately
famiglia,family
ragazzo,lad
volevo,I wanted
okay,okay
sentito,heard
ah,Ah
stesso,same
ragione,reason
sarà,Sara
tuoi,your
capito,understood
notte,night
volte,times
testa,head
serve,serve
tesoro,treasure
sotto,under
eh,eh
suoi,his
vado,I'm going
sara,will be
dato,given
stiamo,we are
bella,beautiful
scusa,excuse me
erano,were
pensavo,I thought
avrei,I would have
prendere,to take
buona,good
porta,brings
bello,nice
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
dovuto,due
avanti,come on
capisco,I understand
venire,to come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,while
letto,read
fino,until
dico,I say
amici,friends
fine,end
aiuto,Help
paura,fear
fratello,brother
stavo,I was
uomini,men
nell',in the'
domani,tomorrow
facciamo,we do
abbastanza,enough
capo,head
amore,love
nei,in the
ucciso,killed
state,state
piano,floor
macchina,machine
trovare,to find
comunque,anyway
vediamo,we see
giorni,days
nemmeno,neither
mano,but no
dall',from
presto,soon
stati,States
merda,shit
far,do
bambino,baby
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,neither
sera,evening
giro,tour
morte,death
e',And'
qua,here
pensato,thought
buon,good
anno,year
mie,my
diavolo,devil
quasi,almost
piacere,pleasure
bel,nice
dovrei,should I
nessun,no
contro,versus
stessa,same
felice,happy
colpa,fault
punto,point
andata,outward
dovrebbe,should
vedi,you see
quale,which
chiesto,asked
invece,instead
perchè,why
migliore,improve
nostri,our
finito,finished
figlia,daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,let's hope
minuti,minutes
terra,Earth
vostra,your
strada,Street
sola,lonely
credi,believe
importante,important
sue,his
salve,Hello
settimana,week
perso,lost
uscire,go out
parlato,spoken
papà,Pope
stasera,this evening
scusi,excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you was
importa,it matters
indietro,backwards
riesco,I am able to
sangue,blood
chiama,who loves
messo,put
piccolo,small
traduzione,translation
tardi,late
cuore,heart
marito,husband
viene,he comes
venuto,coming
ieri,yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,listens
difficile,hard
quell',that'
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,to think
fantastico,fantastic
fatta,made
numero,number
veramente,truly
fanno,do
com',as
serio,serious
possa,can
fossi,dive
entrare,enter
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,water
portato,carried
stanza,room
problemi,problems
forte,loud
nessuna,none
lascia,leaves
amo,love you
roba,stuff
dietro,behind
corpo,body
pare,it seems
sentire,feel
foto,photo
telefono,phone
voleva,she wanted
poco,little
prendi,you take
piccola,small
vicino,Neighbor
quest',this
sacco,sack
capire,understand
potuto,could
cinque,five
strano,strange
tue,your
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,gender
quattro,four
dare,to give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speak out
ufficio,office
verso,towards
mesi,months
farti,make you
unica,only
morire,to die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,that
vivere,to live
vista,view
prova,trial
nuova,new
ricordo,I remember
divertente,fun
avessi,had
sicura,safe
paio,pair
conto,I count
perdere,lose
dimmi,tell me
farmi,make me
figli,sons
mezzo,half
lavorare,to work
unico,unique
esattamente,exactly
squadra,squad
esatto,exact
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Doctor
parola,word
piedi,feet
sopra,over
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finite
volete,you want
siano,they are
potresti,could
gioco,game
perfetto,perfect
be,be
mente,mind
mangiare,to eat
resto,rest
credere,to believe
fortuna,fortune
tratta,deals with
chiamo,call
morta,dead
là,there
entrambi,both of them
avresti,you would have
passare,to pass
cena,dinner
the,tea
sarei,I would be
controllo,check
affari,business
spiace,unpleasant
ultimo,last
facile,easy
buongiorno,good morning
davanti,front
tizio,guy
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,John
vogliono,they want
molti,lot of
culo,ass
fuoco,fire
cercare,to seek
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in
cioe,that is
inizio,Start
saranno,they will be
causa,it causes
voglia,wants
mettere,to put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we will do
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
città,city
citta,city
succedendo,succeeding
ospedale,hospital
fu,was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,had
ottimo,great
cura,treatment
provato,tried
parole,words
lasciare,to leave
new,new
prossima,next
nostre,our
arrivato,arrived
paese,country
sull',on
andate,go
chiunque,whoever
capisci,Do you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,oh God
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,wrong
dirmi,tell me
wow,wow
farai,you will do
entra,enter
venuta,coming
scelta,choice
voluto,wanted
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,back
scoperto,discovery
fatti,facts
settimane,weeks
dirlo,be
alcuni,some
prigione,prison
giornata,day
piuttosto,rather
buono,good
aspettare,wait
parli,you speak
arrivare,arrive
lungo,long
vede,see
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,to sleep
dieci,ten
stupido,stupid
usare,to use
dello,of the
cielo,sky
guardare,watch
bagno,bath
aria,air
voce,voice
tornato,got back
vuol,vuol
giù,below
conosci,you know
benissimo,very good
prendo,I take
verita,truth
cane,dog
restare,to remain
chiamare,call
poter,being able
campo,field
luce,light
sam,Sam
qualunque,whatever
giovane,young
signori,gentlemen
fra,between
provare,try
minuto,minute
saperlo,know it
lontano,distant
gruppo,group
continua,keep on
arrivo,I arrive
gran,large
realta,reality
cerca,near
passo,step
domande,requests
insomma,in short
bambina,girl
pensando,think
capelli,hair
trova,find
onore,honor
aiutare,to help
verità,truth
prove,evidence
n',n '
alto,tall
giu,below
credevo,I believed
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food
fretta,rush
cara,Dear
finalmente,long last
morti,death
odio,hate
solito,usual
brava,good
é,And
incidente,accident
allo,at the
dev',DE
intenzione,intention
speciale,special
cambiare,change
vera,real
camera,room
oltre,beyond
semplice,simple
riguardo,regard
finche,until
aspetto,appearance
viaggio,voyage
chiaro,clear
bocca,mouth
permesso,permit
piacerebbe,would like
dovete,you have to
giocare,play
ordine,order
circa,approximately
ovviamente,obviously
finire,finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,Excuse me
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,York
fondo,background
resta,remain
devono,must
prossimo,next
pronti,ready
saputo,known
scusate,excuse me
potere,power
milioni,millions
soltanto,only
armi,weapons
arriva,he arrives
fermo,stopped
mese,month
chiedere,to ask
cristo,Christ
torno,back
venite,come
controllare,to check
appuntamento,appointment
s,s
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,you put
grado,grade
vanno,they go
nave,ship
iniziato,started
perche',why'
informazioni,information
libero,free
stronzo,asshole
grandi,big
pezzo,piece
segreto,secret
colpo,blow
faceva,he did
piacciono,like
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,rapid
assassino,killer
sapeva,He knew
finché,until
tom,Tom
ormai,at this point
interessa,interest
generale,general
giusta,right
tenere,hold
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,Advice
michael,Michael
alcune,someone
semplicemente,simply
zio,uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,aspect
incredibile,incredible
sole,Sun
glielo,it
spesso,often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,Charlie
lasciami,leave me
gentile,gentle
rispetto,respect
ve,ve
fara,will make
zitto,Shut up
incontro,match
farà,will make
servono,need
rapporto,report
errore,mistake
mike,Mike
sanno,they know
pagare,to pay
sorpresa,surprise
occhiata,look
risposta,reply
presa,socket
servizio,service
medico,doctor
usato,used
hey,Hey
caro,expensive
schifo,disgust
dolore,ache
saresti,would you be
personale,personnel
quali,Which
saro,I will be
peggio,worse
addio,goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realtà,reality
do,do
sarò,I will be
normale,normal
fame,hunger
programma,program
nonna,grandmother
sappia,know
sembrava,It seemed
migliori,best
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,to remain
compagnia,company
proposito,purpose
farci,make us
joe,Joe
ricorda,remember
frank,Frank
prende,takes
tante,many
avevano,they had
arrivando,arriving
chiuso,Closed
terribile,terrible
ritardo,delay
attento,careful
bar,bar
sembri,you look
fallo,just do it
dimenticato,forgotten
bisogna,need
impossibile,impossible
cioè,that is
studio,study
conosce,know
uscita,exit
ii,II
fin,fin
disse,She said
david,David
vattene,get out
quante,how much it is
guai,trouble
intorno,environment
video,video
manca,lacks
esserci,there
grosso,big
tanti,many
dolce,sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting
